split,specimen,qoi,parameter,method,index_type,value,ci_low,ci_high
70/30,C3,T_0.80,k,morris,sigma,1013.2437021163105,,
70/30,C3,T_0.80,alpha,sobol,first,0.8353678856968427,0.8003007981913385,0.8728904388629749
70/30,C3,T_0.80,alpha,sobol,total,0.7885236655281975,0.6896601226306772,0.8961648523823161
70/30,C3,T_0.80,alpha,morris,mu_star,2206.425800560099,,
70/30,C3,T_0.80,alpha,morris,sigma,1278.9452970390687,,
70/30,C3,T_0.80,f_inf,sobol,first,0.05979970767081466,-0.031009665314308262,0.16406515090202262
70/30,C3,T_0.80,f_inf,sobol,total,6.65071470078605e-14,5.329019852145361e-14,8.072133691424228e-14
70/30,C3,T_0.80,f_inf,morris,mu_star,0.0008030425040107758,,
70/30,C3,T_0.80,f_inf,morris,sigma,0.000832858164877702,,
70/30,C4,T_0.80,k,sobol,first,0.11774995573468994,0.00641452416051457,0.21879613390528563
70/30,C4,T_0.80,k,sobol,total,0.10168844939796892,0.07924761691761323,0.12674377685824836
70/30,C4,T_0.80,k,morris,mu_star,339.8830657286727,,
70/30,C4,T_0.80,k,morris,sigma,344.8038023568017,,
70/30,C4,T_0.80,alpha,sobol,first,0.8740125919480782,0.8448895958105161,0.8977311042421805
70/30,C4,T_0.80,alpha,sobol,total,0.9680325132290993,0.82577709223541,1.1071325256530786
70/30,C4,T_0.80,alpha,morris,mu_star,938.566126133391,,
70/30,C4,T_0.80,alpha,morris,sigma,553.3229831774482,,
70/30,C4,T_0.80,f_inf,sobol,first,0.07286532512278954,-0.03216462773193358,0.1685210521607529
70/30,C4,T_0.80,f_inf,sobol,total,4.8697364972568976e-14,3.8807009442453575e-14,6.089323472722283e-14
70/30,C4,T_0.80,f_inf,morris,mu_star,0.00021050166668850067,,
70/30,C4,T_0.80,f_inf,morris,sigma,0.00023859887156892429,,
70/30,C5,T_0.80,k,sobol,first,0.04270138201267071,-0.07540037208260582,0.15043152244241703
70/30,C5,T_0.80,k,sobol,total,0.10071001223603292,0.08346886581924383,0.12386596037299631
70/30,C5,T_0.80,k,morris,mu_star,268.91413034532303,,
70/30,C5,T_0.80,k,morris,sigma,244.48003243579748,,
70/30,C5,T_0.80,alpha,sobol,first,0.9031026560370314,0.8806994541555648,0.9195395295967459
70/30,C5,T_0.80,alpha,sobol,total,0.8887666480545686,0.797671173448785,0.9981914338628081
70/30,C5,T_0.80,alpha,morris,mu_star,886.7822394264152,,
70/30,C5,T_0.80,alpha,morris,sigma,530.1483763814651,,
70/30,C5,T_0.80,f_inf,sobol,first,0.050273095641304666,-0.03467778223745213,0.13824427195866437
70/30,C5,T_0.80,f_inf,sobol,total,3.217552351590982e-14,2.5164993454860244e-14,3.963541528231639e-14
70/30,C5,T_0.80,f_inf,morris,mu_star,0.00018187277274499535,,
70/30,C5,T_0.80,f_inf,morris,sigma,0.000202721923745659,,
70/30,C6,T_0.80,k,sobol,first,0.12968662417527166,0.022966530474749162,0.21688747271176914
70/30,C6,T_0.80,k,sobol,total,0.11088665208277107,0.09026159496428451,0.13514505489910036
70/30,C6,T_0.80,k,morris,mu_star,107.67875590172426,,
70/30,C6,T_0.80,k,morris,sigma,110.80570737395391,,
70/30,C6,T_0.80,alpha,sobol,first,0.892487268763485,0.8727651452950851,0.913104363254316
70/30,C6,T_0.80,alpha,sobol,total,0.8743849972471794,0.7903786873194378,0.9765215885327189
70/30,C6,T_0.80,alpha,morris,mu_star,336.90330749649405,,
70/30,C6,T_0.80,alpha,morris,sigma,203.3548204811698,,
70/30,C6,T_0.80,f_inf,sobol,first,-0.014053470295213533,-0.09426438897070336,0.05551857437546045
70/30,C6,T_0.80,f_inf,sobol,total,3.9700038323484496e-14,3.213790089949921e-14,4.6807618548059275e-14
70/30,C6,T_0.80,f_inf,morris,mu_star,7.27950881222128e-05,,
70/30,C6,T_0.80,f_inf,morris,sigma,7.248549720246766e-05,,
70/30,C7,T_0.80,k,sobol,first,0.16202612306821107,0.03864571729655581,0.26775538127423765
70/30,C7,T_0.80,k,sobol,total,0.19324296414798628,0.16202718118766787,0.2388337762644623
70/30,C7,T_0.80,k,morris,mu_star,407.34896273141385,,
70/30,C7,T_0.80,k,morris,sigma,519.81321320205,,
70/30,C7,T_0.80,alpha,sobol,first,0.7810647549906393,0.7336556426172315,0.8246737307787233
70/30,C7,T_0.80,alpha,sobol,total,0.7834456088204599,0.6949127058937795,0.9041580855985766
